tripId,Type,detail,phone
2021-12-09-17-06-us-ca-lax-e/pixel6pro,urban,,pixel6pro
2022-01-11-18-48-us-ca-mtv-n/mi8,urban,,mi8
2022-01-11-18-48-us-ca-mtv-n/pixel5,urban,,pixel5
2022-01-11-18-48-us-ca-mtv-n/pixel6pro,urban(degrade),,pixel6pro
2022-01-26-20-02-us-ca-mtv-pe1/mi8,highway(degrade),,mi8
2022-01-26-20-02-us-ca-mtv-pe1/pixel5,highway,,pixel5
2022-01-26-20-02-us-ca-mtv-pe1/sm-g988b,highway,,sm-g988b
2022-02-24-18-29-us-ca-lax-o/mi8,urban,,mi8
2022-02-24-18-29-us-ca-lax-o/pixel5,urban(degrade),,pixel5
2022-02-24-18-29-us-ca-lax-o/pixel6pro,urban(improve),,pixel6pro
2022-04-01-18-22-us-ca-lax-t/mi8,urban,,mi8
2022-04-01-18-22-us-ca-lax-t/pixel5,urban,,pixel5
2022-04-01-18-22-us-ca-lax-t/pixel6pro,urban(improve),,pixel6pro
2022-05-13-20-57-us-ca-mtv-pe1/pixel6pro,highway,,pixel6pro
2022-05-13-20-57-us-ca-mtv-pe1/samsungs21ultra,highway,,samsungs21ultra
2022-05-13-20-57-us-ca-mtv-pe1/sm-g988b,highway,,sm-g988b
2022-07-26-21-01-us-ca-sjc-s/pixel5,urban,,pixel5
2022-07-26-21-01-us-ca-sjc-s/samsunga325g,urban,,samsunga325g
2022-08-04-20-07-us-ca-sjc-q/mi8,urban(degrade),,mi8
2022-08-04-20-07-us-ca-sjc-q/pixel5,urban,,pixel5
2022-08-04-20-07-us-ca-sjc-q/sm-a325f,urban,,sm-a325f
2022-10-06-21-51-us-ca-mtv-n/sm-a205u,urban,,sm-a205u
2022-10-06-21-51-us-ca-mtv-n/sm-a217m,urban,,sm-a217m
2022-10-06-21-51-us-ca-mtv-n/sm-a325f,urban,,sm-a325f
2022-11-15-00-53-us-ca-mtv-a/pixel5,highway,,pixel5
2022-11-15-00-53-us-ca-mtv-a/pixel7,highway,,pixel7
2022-11-15-00-53-us-ca-mtv-a/pixel7pro,highway,,pixel7pro
2023-03-08-21-34-us-ca-mtv-u/pixel5,urban,,pixel5
2023-03-08-21-34-us-ca-mtv-u/pixel6pro,urban,,pixel6pro
2023-03-08-21-34-us-ca-mtv-u/pixel7pro,urban,,pixel7pro
2023-05-09-21-32-us-ca-mtv-pe1/pixel5,highway,,pixel5
2023-05-09-21-32-us-ca-mtv-pe1/pixel7pro,highway,,pixel7pro
2023-05-09-21-32-us-ca-mtv-pe1/samsungs22ultra,highway,,samsungs22ultra
2023-05-16-19-54-us-ca-mtv-xe1/pixel5,highway,,pixel5
2023-05-16-19-55-us-ca-mtv-xe1/pixel7pro,highway,,pixel7pro
2023-05-19-20-10-us-ca-mtv-ie2/pixel5,urban,,pixel5
2023-05-19-20-10-us-ca-mtv-ie2/pixel7pro,urban,,pixel7pro
2023-05-19-20-10-us-ca-mtv-ie2/sm-s908b,urban,,sm-s908b
2023-05-23-19-16-us-ca-mtv-ie2/pixel5,urban,,pixel5
2023-05-23-19-16-us-ca-mtv-ie2/sm-s908b,urban,,sm-s908b
2023-05-23-19-56-us-ca-mtv-ie2/sm-a226b,urban,,sm-a226b
2023-05-23-19-56-us-ca-mtv-ie2/sm-a505g,urban,,sm-a505g
2023-05-23-19-56-us-ca-mtv-ie2/sm-a600t,urban,,sm-a600t
2023-05-24-20-26-us-ca-sjc-ge2/pixel5,urban,,pixel5
2023-05-24-20-26-us-ca-sjc-ge2/pixel7pro,urban,,pixel7pro
2023-05-25-19-10-us-ca-sjc-be2/pixel5,urban,,pixel5
2023-05-25-19-10-us-ca-sjc-be2/pixel7pro,urban,,pixel7pro
2023-05-25-19-10-us-ca-sjc-be2/sm-s908b,urban,,sm-s908b
2023-05-25-20-11-us-ca-sjc-he2/pixel5,urban,,pixel5
2023-05-25-20-11-us-ca-sjc-he2/pixel7pro,urban,,pixel7pro
2023-05-25-20-11-us-ca-sjc-he2/sm-s908b,urban,,sm-s908b
2023-05-26-18-50-us-ca-sjc-ge2/sm-s908b,urban,,sm-s908b
2023-05-26-18-51-us-ca-sjc-ge2/pixel5,urban,,pixel5
2023-05-26-18-51-us-ca-sjc-ge2/pixel7pro,urban,,pixel7pro
2023-06-06-23-26-us-ca-sjc-he2/sm-a226b,urban,,sm-a226b
2023-09-05-20-13-us-ca/pixel5,urban,,pixel5
2023-09-05-20-13-us-ca/pixel7pro,urban,,pixel7pro
2023-09-05-20-59-us-ca/pixel4xl,urban,,pixel4xl
2023-09-05-20-59-us-ca/pixel5a,urban,,pixel5a
2023-09-05-23-07-us-ca-routen/pixel5,urban,,pixel5
2023-09-05-23-07-us-ca-routen/pixel7pro,urban,,pixel7pro
2023-09-06-00-01-us-ca-routen/pixel4xl,urban,,pixel4xl
2023-09-06-00-01-us-ca-routen/pixel5a,urban,,pixel5a
2023-09-06-00-01-us-ca-routen/pixel6pro,urban,,pixel6pro
2023-09-06-18-04-us-ca/pixel5,highway,,pixel5
2023-09-06-18-04-us-ca/pixel7pro,highway,,pixel7pro
2023-09-06-18-04-us-ca/sm-s908b,highway,,sm-s908b
2023-09-06-18-47-us-ca/pixel4xl,highway,,pixel4xl
2023-09-06-18-47-us-ca/pixel6pro,highway,,pixel6pro
2023-09-06-22-49-us-ca-routebb1/pixel7pro,semiurban,,pixel7pro
2023-09-06-22-49-us-ca-routebb1/sm-s908b,semiurban,,sm-s908b
2023-09-07-18-59-us-ca/pixel5,urban,,pixel5
2023-09-07-18-59-us-ca/pixel7pro,urban,,pixel7pro
2023-09-07-19-33-us-ca/pixel4xl,urban,,pixel4xl
2023-09-07-19-33-us-ca/pixel5a,urban,,pixel5a
2023-09-07-19-33-us-ca/pixel6pro,urban,,pixel6pro
2023-09-07-22-47-us-ca-routebc2/pixel6pro,urban,,pixel6pro
2023-09-07-22-48-us-ca-routebc2/pixel4xl,urban,,pixel4xl
2023-09-07-22-48-us-ca-routebc2/pixel5a,urban,,pixel5a
